lat,long,elevation
-5,80,-5145.8
-5,85,-5021.3
-5,90,-5001.8
-5,95,-5004.8
-5,100,-5533.5
-5,105,58.3
-5,110,-54.3
-5,115,-27.3
-5,120,410.6
-5,125,-4393
-5,130,-4453.8
-5,135,-60.5
-5,140,163.6
-5,145,81.7
-5,150,-300.3
-5,155,-3187.7
-5,160,-1578.8
-5,165,-2354.5
-5,170,-3234
-5,175,-5457
0,-175,-5405
0,-170,-5488.6
0,-165,-5797.8
0,-160,-5168
0,-155,-4677.7
0,-150,-4447.2
0,-145,-4225.5
0,-140,-4317.5
0,-135,-4368.8
0,-130,-4332.3
0,-125,-4718.9
0,-120,-4191.3
0,-115,-4020.7
0,-110,-3841.7
0,-105,-3552.8
0,-100,-3230.9
0,-95,-3321.3
0,-90,-911.3
0,-85,-3362.5
0,-80,501.8
0,-75,195.7
0,-70,160.4
0,-65,82
0,-60,132.3
0,-55,518.8
0,-50,4.2
0,-45,-96.5
0,-40,-3543.8
0,-35,-4544
0,-30,-3897.3
0,-25,-2999.5
0,-20,-2572
0,-15,-3763.8
0,-10,-4521.1
0,-5,-5149.5
0,0,-4941.8
0,5,-3781.8
0,10,33.8
0,15,392.7
0,20,344.9
0,25,468.9
0,30,944
0,35,1694.4
0,40,169.2
0,45,-3552
0,50,-5054
0,55,-4275.2
0,60,-4555.5
0,65,-3667
0,70,-3958
0,75,-4375.8
0,80,-4667.5
0,85,-4565.5
0,90,-4144.5
0,95,-4537
0,100,361.6
0,105,-25.8
0,110,28.4
0,115,218
0,120,515.3
0,125,-2860.5
0,130,-109.8
0,135,-1636
0,140,-3094.5
0,145,-3680.1
0,150,-5277.5
0,155,-2515
0,160,-2827.8
0,165,-4408.3
0,170,-4444.2
0,175,-4832.5
5,-175,-5398.5
5,-170,-5732.6
5,-165,-4853.3
5,-160,-3028
5,-155,-4561.7
5,-150,-5113.8
5,-145,-5133
5,-140,-4372.8
5,-135,-4543.8
5,-130,-4286.3
5,-125,-4393.3
5,-120,-4161.5
5,-115,-4201.7
5,-110,-3916.3
5,-105,-3550.3
5,-100,-3572.1
5,-95,-3576.6
5,-90,-3179.4
5,-85,-1779.6
5,-80,-3141.5
5,-75,1353.4
5,-70,115.4
5,-65,593.1
5,-60,904.7
5,-55,48.6
5,-50,-2495.5
5,-45,-4034.8
5,-40,-4569.8
5,-35,-3740
5,-30,-3735
5,-25,-4168.8
5,-20,-4303.2
5,-15,-4892.5
5,-10,-1549.7
5,-5,-107.3
5,0,-3267.8
5,5,-117
5,10,704.7
5,15,703.3
5,20,383
5,25,598.2
5,30,756.7
5,35,453.8
5,40,1138.5
5,45,198
5,50,-3785.3
